7,345
8,380
7,572
10,610
7,803
13,416
16,645
12,839
18,225
20,455
18,876
24,260
26,490
23,685
24,912
31,300
29,720
31,950
33,527
35,760
38,335
39,565
38,987
44,372
43,796
47,603
49,832
55,216
52,409
53,640
57,448
59,676
57,869
62,254
64,485
62,907
67,291
70,520
67,714
69,945
75,330
72,752
75,980
81,365
77,559
79,787
83,596
86,825
88,405
90,635
92,212
94,440
96,670
92,863
98,247
101,480
99,900
105,285
103,707
105,935
107,516
110,745
112,322
114,552
112,974
118,360
117,783
124,395
122,589
123,820
129,205
127,627
129,855
135,240
132,433
134,665
136,895
138,471
140,700
142,278
144,507
143,931
148,316
151,545
147,739
149,970
155,355
154,775
158,583
159,812
166,200
162,391
164,620
168,427
170,656
167,850
172,236
175,465
173,887
179,271
181,500
178,695
179,925
186,310
183,731
186,960
188,540
192,347
194,576
192,768
199,385
197,807
203,191
205,420
202,613
203,843
209,227
208,652
210,880
216,265
212,458
214,690
218,495
221,725
217,918
222,303
225,531
223,955
229,340
227,763
236,375
232,569
234,800
238,606
241,835
242,183
246,220
243,415
245,645
249,450
251,680
247,874
253,260
253,911
260,295
257,488
262,525
258,720
260,950
264,755
266,985
267,334
269,562
273,371
275,600
272,793
277,178
279,410
277,831
283,215
287,445
282,638
284,866
290,251
289,675
291,905
292,483
295,710
297,289
300,520
297,942
303,326
305,555
302,750
303,980
310,365
308,786
314,170
316,400
313,593
315,825
321,210
319,631
321,860
323,440
326,670
327,246
330,475
332,705
327,898
334,282
334,935
340,320
337,513
338,745
341,975
343,550
346,780
351,165
347,358
349,586
353,395
352,818
357,202
360,430
357,624
358,855
364,240
362,662
365,890
371,275
367,470
369,700
373,506
376,735
372,929
377,313
380,545
378,966
384,351
386,580
382,774
388,157
391,390
388,811
395,195
393,620
395,846
397,426
399,655
401,885
402,233
404,462
408,270
411,500
407,693
408,922
414,306
413,730
414,960
417,538
419,766
425,150
422,344
424,575
427,382
430,610
427,804
432,189
434,420
432,842
438,226
440,455
437,649
439,880
445,265
443,686
445,915
451,300
447,493
450,725
454,531
456,760
452,953
462,145
458,338
460,566
464,375
462,798
469,181
471,415
467,606
470,835
473,642
476,870
477,219
477,451
480,680
482,257
484,486
486,715
482,909
488,295
489,946
495,330
492,524
493,755
500,140
497,562
499,790
497,983
506,175
502,368
504,600
508,406
510,635
507,828
512,213
515,441
513,866
519,250
522,480
517,673
519,902
526,285
524,711
528,517
530,746
527,939
532,324
535,555
532,978
539,361
541,590
537,785
543,821
547,399
548,630
549,860
552,437
554,666
556,895
558,475
565,510
562,704
563,933
567,742
569,970
572,549
574,777
578,586
580,815
585,625
591,660
587,853
593,890
597,698
600,925
605,735
611,770
607,964
618,810
624,846
631,885
637,921
644,957
